Title;Summary;Publication;Ressort;URL
"
Schon wieder weg
";Nach nur sechs Monaten wechselt SAP seine Chefin aus. Weil sie eine Frau ist?;2020-04-29T06:06:38+02:00;;https://www.zeit.de/2020/19/jennifer-morgan-sap-fuehrungsposition-konzernstrategie-christian-klein
Willi kriegt seinen Stoff nicht;Die Corona-Krise trifft auch die Drogenszene: Während die einen gegen Einsamkeit und Angst ankiffen, zwingen Engpässe Suchtkranke in den unkontrollierten Entzug.;2020-04-30T06:13:09+02:00;Entdecken;https://www.zeit.de/entdecken/2020-04/drogenhandel-coronavirus-abhaengigkeit-entzug-heroin
Sagt den Sommer endlich ab;Die weltweite Reisewarnung wird verlängert – bis Mitte Juni. Die Regierung hätte den Mut haben sollen, Sommerurlaub im Ausland ganz abzusagen. Zögern nützt niemandem.;2020-04-29T13:09:55+02:00;Entdecken;https://www.zeit.de/entdecken/reisen/2020-04/reisewarnung-verlaengerung-sommerurlaub-auswaertiges-amt-bundesregierung
Mitarbeiter proben erstmals Abläufe am BER;Sicherheitskontrollen, Check-in, Gepäck: Beschäftigte des neuen Berliner Flughafens haben so getan, als würden sie verreisen. Nur der Airport-Bahnhof blieb verwaist.;2020-04-30T16:37:11+02:00;Mobilität;https://www.zeit.de/wirtschaft/2020-04/flughafen-berlin-brandenburg-ber-probe-arbeitsablaeufe
Hunderttausende VW-Kunden stimmen Vergleich zu;Die Verbraucherzentralen nehmen die Musterfeststellungsklage gegen Volkswagen zurück. 235.000 Kunden haben sich mit dem Konzern auf Entschädigungszahlungen geeinigt.;2020-04-30T13:57:56+02:00;Mobilität;https://www.zeit.de/mobilitaet/2020-04/abgasskandal-vw-diesel-vergleich-entschaedigungszahlungen
340 freie Beatmungsbetten in Hamburg;Gut 4.800 Menschen infiziert, mehr als 150 gestorben: die Lage in Hamburg im laufend aktualisierten Überblick;2020-04-30T14:00:23+02:00;Hamburg;https://www.zeit.de/hamburg/2020-03/coronavirus-hamburg-schulschliessungen-massnahmen-veranstaltungen-faq
Jetzt erst recht;In den Koalitionsverhandlungen verbindet Sozialdemokraten und Grüne eine gemeinsame Haltung: Was vor der Krise richtig war, ist nun umso richtiger.;2020-04-30T10:33:21+02:00;Hamburg;https://www.zeit.de/2020/19/koalitionsverhandlungen-hamburg-sozialdemokraten-gruene-coronavirus-krise
Boxer Felix Sturm soll wegen Steuerhinterziehung drei Jahre in Haft;Zwischen 2008 und 2013 hat Sturm dem Fiskus mindestens eine Million Euro vorenthalten und muss dafür in Haft. Auch wegen Dopings und Körperverletzung wurde er verurteilt.;2020-04-30T17:57:26+02:00;Sport;https://www.zeit.de/sport/2020-04/felix-sturm-steuerhinterziehung-haftstrafe-landgericht-koeln
Weg von der Bildfläche;Auch der Frauenfußball hat mit der Krise zu kämpfen. Während die Nationalmannschaft auf Highlights lange warten muss, zeigen sich die Bundesligisten zuversichtlich.;2020-04-28T14:13:32+02:00;Sport;https://www.zeit.de/sport/2020-04/fussball-frauen-corona-krise
Sommermärchen gekauft, na und?;Der Sommermärchen-Prozess wird eingestellt. Zwar spricht vieles dafür, dass die WM 2006 gekauft war, aber die wirklich bösen Buben standen eh nicht vor Gericht.;2020-04-28T05:48:21+02:00;Sport;https://www.zeit.de/sport/2020-04/dfb-sommermaerchen-prozess-schweiz-fifa-deutschland-fussball-wm-affaere-2006
